match,RF,GPM,GPM2,Poisson,Actual
Eintracht Frankfurt vs VfL Wolfsburg,"[0.0, 0.5, 0.5]","[0.03, 0, 0.97]","[0.11, 0, 0.89]","[0.498, 0.278, 0.225]","[0, 1, 0]"
Werder Bremen vs FC Schalke 04,"[1.0, 0.0, 0.0]","[0.667, 0, 0.333]","[0.619, 0, 0.381]","[0.631, 0.152, 0.217]","[0, 1, 0]"
Fortuna Düsseldorf vs FC Bayern,"[0.0, 0.5, 0.5]","[0, 1, 0]","[0, 0.811, 0.189]","[0.13, 0.711, 0.16]","[0, 1, 0]"
FC Augsburg vs Hertha BSC,"[0.0, 0.5, 0.5]","[0.03, 0, 0.97]","[0.11, 0, 0.89]","[0.42, 0.355, 0.225]","[1, 0, 0]"
TSG 1899 Hoffenheim vs 1. FSV Mainz 05,"[0.0, 1.0, 0.0]","[0.727, 0, 0.273]","[0.667, 0, 0.333]","[0.676, 0.153, 0.17]","[0, 1, 0]"
TSG 1899 Hoffenheim vs Fortuna Düsseldorf,"[0.0, 0.5, 0.5]","[0.636, 0, 0.364]","[0.595, 0, 0.405]","[0.713, 0.137, 0.15]","[0, 0, 1]"
Hertha BSC vs Borussia Dortmund,"[0.0, 0.5, 0.5]","[0, 0.939, 0.061]","[0, 0.666, 0.334]","[0.247, 0.545, 0.208]","[0, 1, 0]"
FC Bayern vs Bayer Leverkusen,"[0.5, 0.5, 0.0]","[0.576, 0, 0.424]","[0.546, 0, 0.454]","[0.723, 0.125, 0.152]","[0, 1, 0]"
Borussia Mönchengladbach vs SC Freiburg,"[0.0, 0.5, 0.5]","[0.273, 0, 0.727]","[0.304, 0, 0.696]","[0.637, 0.16, 0.203]","[1, 0, 0]"
VfL Wolfsburg vs Werder Bremen,"[0.0, 0.5, 0.5]","[0.091, 0, 0.909]","[0.158, 0, 0.842]","[0.485, 0.285, 0.23]","[0, 1, 0]"
1. FSV Mainz 05 vs Eintracht Frankfurt,"[0.5, 0.0, 0.5]","[0, 0.455, 0.545]","[0, 0.278, 0.722]","[0.312, 0.45, 0.238]","[1, 0, 0]"
Eintracht Frankfurt vs Hertha BSC,"[0.0, 0.5, 0.5]","[0.364, 0, 0.636]","[0.376, 0, 0.624]","[0.605, 0.191, 0.205]","[0, 0, 1]"
Borussia Dortmund vs Fortuna Düsseldorf,"[0.5, 0.5, 0.0]","[0.939, 0, 0.061]","[0.837, 0, 0.163]","[0.795, 0.087, 0.118]","[1, 0, 0]"
RB Leipzig vs TSG 1899 Hoffenheim,"[0.5, 0.0, 0.5]","[0, 0.273, 0.727]","[0, 0.133, 0.867]","[0.614, 0.174, 0.212]","[1, 0, 0]"
Borussia Mönchengladbach vs FC Bayern,"[0.5, 0.5, 0.0]","[0, 0.939, 0.061]","[0, 0.666, 0.334]","[0.261, 0.499, 0.24]","[1, 0, 0]"
SC Freiburg vs VfL Wolfsburg,"[0.5, 0.0, 0.5]","[0, 0.424, 0.576]","[0, 0.254, 0.746]","[0.317, 0.453, 0.23]","[1, 0, 0]"
FC Augsburg vs 1. FSV Mainz 05,"[0.5, 0.5, 0.0]","[0.121, 0, 0.879]","[0.182, 0, 0.818]","[0.454, 0.322, 0.224]","[1, 0, 0]"
Bayer Leverkusen vs FC Schalke 04,"[0.5, 0.0, 0.5]","[0.97, 0, 0.03]","[0.861, 0, 0.139]","[0.689, 0.13, 0.181]","[1, 0, 0]"
TSG 1899 Hoffenheim vs FC Augsburg,"[1.0, 0.0, 0.0]","[0.606, 0, 0.394]","[0.57, 0, 0.43]","[0.731, 0.128, 0.141]","[0, 1, 0]"
FC Bayern vs Werder Bremen,"[1.0, 0.0, 0.0]","[0.879, 0, 0.121]","[0.789, 0, 0.211]","[0.722, 0.116, 0.162]","[1, 0, 0]"
Hertha BSC vs SC Freiburg,"[0.0, 0.5, 0.5]","[0.091, 0, 0.909]","[0.158, 0, 0.842]","[0.523, 0.252, 0.225]","[1, 0, 0]"
1. FSV Mainz 05 vs Borussia Dortmund,"[0.0, 1.0, 0.0]","[0, 1, 0]","[0, 0.739, 0.261]","[0.22, 0.579, 0.201]","[0, 1, 0]"
Fortuna Düsseldorf vs RB Leipzig,"[0.0, 0.5, 0.5]","[0, 0.364, 0.636]","[0, 0.205, 0.795]","[0.169, 0.611, 0.22]","[0, 1, 0]"
VfL Wolfsburg vs Borussia Mönchengladbach,"[0.5, 0.0, 0.5]","[0.152, 0, 0.848]","[0.207, 0, 0.793]","[0.443, 0.311, 0.246]","[1, 0, 0]"
FC Schalke 04 vs Eintracht Frankfurt,"[0.0, 1.0, 0.0]","[0, 0.788, 0.212]","[0, 0.545, 0.455]","[0.25, 0.495, 0.254]","[1, 0, 0]"
Werder Bremen vs 1. FSV Mainz 05,"[0.5, 0.5, 0.0]","[0.333, 0, 0.667]","[0.352, 0, 0.648]","[0.599, 0.19, 0.211]","[0, 1, 0]"
Borussia Dortmund vs RB Leipzig,"[1.0, 0.0, 0.0]","[0.576, 0, 0.424]","[0.546, 0, 0.454]","[0.393, 0.348, 0.259]","[0, 0, 1]"
FC Augsburg vs Fortuna Düsseldorf,"[0.5, 0.5, 0.0]","[0.03, 0, 0.97]","[0.11, 0, 0.89]","[0.482, 0.308, 0.209]","[1, 0, 0]"
Bayer Leverkusen vs Hertha BSC,"[1.0, 0.0, 0.0]","[0.545, 0, 0.455]","[0.522, 0, 0.478]","[0.625, 0.187, 0.188]","[0, 1, 0]"
VfL Wolfsburg vs FC Schalke 04,"[0.5, 0.5, 0.0]","[0.758, 0, 0.242]","[0.692, 0, 0.308]","[0.653, 0.144, 0.203]","[0, 0, 1]"
SC Freiburg vs FC Bayern,"[0.0, 0.0, 1.0]","[0, 1, 0]","[0, 0.884, 0.116]","[0.133, 0.697, 0.17]","[0, 1, 0]"
TSG 1899 Hoffenheim vs Borussia Dortmund,"[0.0, 0.0, 1.0]","[0, 0.303, 0.697]","[0, 0.157, 0.843]","[0.395, 0.399, 0.206]","[1, 0, 0]"
FC Bayern vs VfL Wolfsburg,"[1.0, 0.0, 0.0]","[0.788, 0, 0.212]","[0.716, 0, 0.284]","[0.724, 0.119, 0.158]","[1, 0, 0]"
RB Leipzig vs FC Augsburg,"[0.0, 0.0, 1.0]","[0.333, 0, 0.667]","[0.352, 0, 0.648]","[0.784, 0.075, 0.14]","[1, 0, 0]"
1. FSV Mainz 05 vs Bayer Leverkusen,"[0.0, 1.0, 0.0]","[0, 0.636, 0.364]","[0, 0.424, 0.576]","[0.315, 0.462, 0.223]","[0, 1, 0]"
FC Schalke 04 vs SC Freiburg,"[0.0, 0.5, 0.5]","[0, 0.333, 0.667]","[0, 0.181, 0.819]","[0.4, 0.333, 0.267]","[0, 0, 1]"
Hertha BSC vs Borussia Mönchengladbach,"[1.0, 0.0, 0.0]","[0, 0.182, 0.818]","[0, 0.06, 0.94]","[0.336, 0.409, 0.256]","[0, 0, 1]"
